Commodity  code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
484,Truck transportation,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,1,1
484,Truck transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
484,Truck transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.021,0,0.021,,4,2,1,5,1
485,Transit and ground passenger transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.312,0,0.312,,3,2,1,3,1
485,Transit and ground passenger transportation,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
485,Transit and ground passenger transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
485,Transit and ground passenger transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0,0.006,,4,2,1,5,1
486,Pipeline transportation,carbon dioxide,"kg/2018 USD, purchaser price",1.08,0,1.08,,4,2,1,1,1
486,Pipeline transportation,methane,"kg/2018 USD, purchaser price",0.028,0,0.028,,4,2,1,1,1
486,Pipeline transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
486,Pipeline transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0,0.011,,4,2,1,5,1
487OS,Other transportation and support activities,carbon dioxide,"kg/2018 USD, purchaser price",0.371,0,0.371,,4,2,1,3,1
487OS,Other transportation and support activities,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,2,1
487OS,Other transportation and support activities,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
487OS,Other transportation and support activities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005,,4,2,1,4,1
493,Warehousing and storage,carbon dioxide,"kg/2018 USD, purchaser price",0.426,0,0.426,,2,2,1,2,1
493,Warehousing and storage,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
493,Warehousing and storage,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,2,1
493,Warehousing and storage,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,3,2,1,3,1
